"행사ID","행사명","장소","행사내용","행사시작일자","행사종료일자","행사시작시각","행사종료시각","요금정보","입장연령","주차장보유여부","소재지도로명주소","소재지지번주소","위도","경도"
6726,"경주 문화예술 르네상스  - 남부권역 행사 ’아우름’","외동중학교","공연/체험",23/10/13,23/10/13,"14:25","16:25","무료","전연령","Y","경상북도 경주시 외동읍 입실로1길 80-9","경상북도 경주시 외동읍 입실리 443-1",35.7173567,129.3253809
6727,"경주 문화예술 르네상스  - 서부권역 행사 ’取 follow me ’","건천초등학교 강당","공연/체험",23/10/16,23/10/16,"09:00","11:10","무료","전연령","Y","경상북도 경주시 건천읍 내서로 1105","경상북도 경주시 건천읍 건천리 229",35.85054046,129.1037329
6728,"경주 문화예술 르네상스  - 중심2권역 행사 ’예술로’","황성공원","공연/체험",23/10/21,23/10/21,"12:00","20:00","무료","전연령","Y","경상북도 경주시 용담로 79-41","경상북도 경주시 황성동 산1-1",35.85998033,129.2119765
6729,"경주 문화예술 르네상스  - 중심3권역 행사 ’마실오시소’","용강동고분","공연/체험",23/10/21,23/10/21,"17:00","19:00","무료","전연령","Y","주소 X","경상북도 경주시 용강동 1130-2",35.8613932,129.2243585
6730,"경주 문화예술 르네상스  - 남부권역 행사 ’아우름’","외동읍민체육관","공연/체험",23/10/25,23/10/25,"14:00","16:00","무료","전연령","Y","경상북도 경주시 외동읍 신기앞길 67-62","경상북도 경주시 외동읍 입실리 1344-69",35.7139405,129.328964
6731,"경주 문화예술 르네상스  - 남부권역 행사 ’아우름’","갤러리미지","전시",23/10/26,23/10/28,"11:00","18:00","무료","전연령","Y","경상북도 경주시 불국신택지2길 22","경상북도 경주시진현동 651-19",35.78438818,129.3254443
6732,"경주 문화예술 르네상스  - 서부권역 행사 ’取 follow me ’","아화초등학교강당","공연/체험",23/10/26,23/10/26,"10:30","11:20","무료","전연령","Y","경상북도 경주시 서면 내서로 461","경상북도 경주시 서면 아화리 282",35.89297744,129.0529245
6733,"경주 문화예술 르네상스  - 중심3권역 행사 ’마실오시소’","보덕동주민센터뒷마당","공연/체험",23/10/28,23/10/28,"13:00","15:00","무료","전연령","Y","주소 X","경상북도 경주시 천군동 211-5",35.83543062,129.2882675
6734,"경주 문화예술 르네상스  - 중심2권역 행사 ’예술로’","인터폴까페","공연/체험",23/10/28,23/10/28,"15:00","21:00","무료","전연령","Y","경상북도 경주시 태종로 446-2","경상북도 경주시 충효동 475",35.84361989,129.1786258
6735,"경주 문화예술 르네상스  - 서부권역 행사 ’取 follow me ’","건천초등학교운동장","공연/체험",23/10/28,23/10/28,"15:00","18:20","무료","전연령","Y","경상북도 경주시 건천읍 내서로 1105","경상북도 경주시 건천읍 건천리 229",35.85054046,129.1037329
6736,"경주 문화예술 르네상스  - 남부권역 행사 ’아우름’","갤러리미지","체험",23/10/26,23/10/26,"11:00","18:00","무료","전연령","Y","경상북도 경주시 불국신택지2길 22","경상북도 경주시 진현동 651-19",35.78438818,129.3254443
6737,"경주 문화예술 르네상스  - 남부권역 행사 ’아우름’","갤러리미지","전시",23/10/29,23/10/31,"11:00","18:00","무료","전연령","Y","경상북도 경주시 불국신택지2길 22","경상북도 경주시 진현동 651-19",35.78438818,129.3254443
6738,"한수원 문화가 있는 날 <핑크퐁 클래식 나라>","경주예술의전당(화랑홀)","클래식",23/08/27,23/08/27,"15:00","16:30","유료","초등학생이상관람가능","Y","경상북도 경주시 알천북로 1","경상북도 경주시 황성동 988",35.86235686,129.2059986
6739,"2023 조희창의 <토요 클래식 살롱> - series 4.","경주예술의전당(원화홀)","클래식",23/09/09,23/09/09,"17:00","18:20","유료","초등학생이상관람가능","Y","경상북도 경주시 알천북로 1","경상북도 경주시 황성동 988",35.86235686,129.2059986
