"축제ID","축제명","개최장소","축제시작일자","축제종료일자","축제내용","홈페이지주소","소재지도로명주소","소재지지번주소","위도","경도"
1,"강릉커피축제","강릉대도호부 관아지 등",22/10/06,22/10/09,"커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등","http://www.coffeefestival.net","강원도 강릉시 임영로131번길 6 (용강동)","강원도 강릉시 용강동 58-1",37.75294455,128.8919029
2,"전국생활문화축제 in강릉","강릉명주예술마당",22/10/27,22/10/30,"전국 생활문화 활동 발표+기획 프로그램 등","홈페이지 정보 없음","강원도 강릉시 경강로 2021번길9-1","강원도 강릉시 명주동 49-1",37.75040333,128.8898121
3,"2022 강릉와인축제","강릉 월화거리 일원(문선빌딩 방면)",22/12/09,22/12/11,"도전 와인 골든벨+선셋 와인 아워+시음존 등 운영","https://www.gncaf.or.kr/contents.asp?page=482","강원도 강릉시 경강로 2111","강원도 강릉시 임당동 106-1",37.7558922453,128.8974692754
4,"2022 강릉누들축제","강릉 월화거리 일원(홈플러스 방면)",22/12/16,22/12/18,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등","홈페이지 정보 없음","강원도 강릉시 경강로 2112","강원도 강릉시 임당동 113-2",37.7553861171,128.8981649115
5,"구례산수유꽃축제","산동면",23/03/11,23/03/19,"산수유꽃 프로그램","https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000","주소 X","전라남도 구례군 산동면 좌사리 831",35.318767,127.4705342214
6,"마곡사 신록축제","사곡면 운암리 마곡사일원",22/05/07,22/05/08,"전시 운영+백범명상길 걷기+마곡사 보물찾기 등","홈페이지 정보 없음","충청남도 공주시 사곡면 마곡사로 966 마곡사","충청남도 공주시 사곡면 운암리 567",36.55740589,127.011603
7,"제68회 백제문화제","금강신관공원",22/10/01,22/10/10,"웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매","https://www.baekje.org/kor/","충청남도 공주시 신관동 553","충청남도 공주시 신관동 553",36.47835102,127.1204236
8,"제5회 겨울공주 군밤축제","온라인",22/01/29,22/02/20,"알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등","홈페이지 정보 없음","충청남도 공주시 금학동 111-1","충청남도 공주시 금학동 111-1",36.43336915,127.124038
9,"제1회 유구색동수국정원 꽃축제","유구색동수국정원",22/06/17,22/06/19,"공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등","홈페이지 정보 없음","주소 X","충청남도 공주시 유구읍 유구리 648-17",36.5555032985,126.9543952096
10,"보이지 않아도 보이는","KT&G 상상마당 춘천 1전시실+KT&G 상상마당 춘천 2전시실",22/07/13,22/07/17,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94","강원도 춘천시 스포츠타운길399번길 25 어린이회관","강원도 춘천시 삼천동 223-2 어린이회관",37.874066,127.702455
11,"Creative energy_김정현 개인展","춘천미술관",22/07/01,22/07/06,"김정현 개인전","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195","강원도 춘천시 서부대성로 71","강원도 춘천시 옥천동 73-2",37.88237413,127.73132
12,"2022년 강원PAX아라리 제 3회 정기연주회","국립춘천박물관 중앙홀",22/06/29,22/06/29,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C","강원도 춘천시 우석로 70 국립춘천박물관","강원도 춘천시 석사동 95-3",37.86401877,127.7521907
13,"제4회 대청호 벚꽃축제","신상동 벚꽃한터 일원",22/04/08,22/04/10,"벚꽃 아트길+온라인 공연+경연대회","https://www.donggu.go.kr/dg/tour/contents/988","주소 X","대전광역시 동구 신상동 282",36.35359044,127.4980431
14,"제5회 대청호 벚꽃축제","신상동 벚꽃한터 일원",23/04/07,23/04/09,"벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등","https://www.donggu.go.kr/dg/tour/contents/988","주소 X","대전광역시 동구 신상동 282",36.35359044,127.4980431
15,"동두천 청소년 별자리과학 축제","종합운동장",23/10/21,23/10/21,"경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발","http://www.ddc.go.kr","경기도 동두천시 어등로 45","경기도 동두천시 생연동 70",37.90083977,127.0704987
16,"동두천락페스티벌","소요산 주차장 야외특설무대",23/08/25,23/08/26,"전국락밴드경연 및 락 뮤지션 초청공연","https://www.ddc.go.kr/tour/contents.do?key=269","주소 X","경기도 동두천시 상봉암동 산 1-5",37.93877612,127.0857429
17,"2023 제7회 이담농악두드림대축제","동두천 시민회관 공연장",23/07/22,23/07/22,"동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제","http://www.ddc.go.kr","경기도 동두천시 중앙로 268","경기도 동두천시 생연동 594-1",37.90543939,127.0546796
18,"제4회 동두천 국제 트레일러닝 대회","종합운동장",23/04/29,23/04/29,"천혜의 자연 경관을 바탕으로 명실상부한 국내 최고의 트레일러닝대회","http://www.korea50k.com","경기도 동두천시 어등로 45","경기도 동두천시 생연동 70",37.90083977,127.0704987
19,"상패남산축제","상패동 행정복지센터 주차장",23/09/09,23/09/09,"공연+체험+먹거리장터 등","http://www.ddc.go.kr","경기도 동두천시 어수로 8","경기도 동두천시 상패동 122-2",37.90537169,127.0442776
42,"제주 광어대축제","제주어류양식수협 특별행사부스",23/10/14,23/10/22,"광어를 소재로 한 국내 유일의 행사로써 제주 광어의 우수성과 안정성을 소개하고 홍보하는 축제이다.","홈페이지 정보 없음","제주특별자치도 제주시 연삼로 166","주소 X",33.503977,126.5491571
43,"JEMI페스타","제주영상·문화산업진흥원 일대",23/10/21,23/10/22,"제주의 JEMI있는 콘텐츠를 발굴하는 연구소 ’제주콘텐츠코리아랩’의 콘텐츠 기업을 만날 수 있는 ’JEMI페스타’가 개최된다. 이번 JEMI페스타에는 32개 팀의 도내 콘텐츠기업과 예비창업자들이 참여해 다양한 미션존·체험존·전시존이 운영된다.","jejuckl.kr/community/photo.htm?act=view&seq=580","제주특별자치도 제주시 신산로 82","주소 X",33.50548585,126.5347396
44,"흥부제","사랑의 광장 일원+아영면 성리 흥부묘+인월면",23/10/07,23/10/09,"흥부마을터울림+다양한 공연 및 홍보 등","홈페이지 정보 없음","전라북도 남원시 양림길 12","전라북도 남원시 어현동 37-19",35.40248095,127.3861268
45,"지리산 뱀사골 단풍제","산내면 부운리 지리산국립공원",23/10/21,23/10/21,"단풍제(산신제)+체험행사(단풍길 걷기, 보물찾기 등)+지리산 풍경 사진전+공연단 공연","홈페이지 정보 없음","전라북도 남원시 산내면 와운길 10","전라북도 남원시 산내면 부운리 252",35.37179767,127.5791353
46,"백운계곡 뜬구름 축제","백운계곡 일대",22/04/30,22/05/22,"장작패기+무술체험+포천쿠키만들기+레트로포토존+뜬구름빵+행운쿠기체험 등","홈페이지 정보 없음","경기도 포천시 이동면 포화로148","주소 X",38.0700747348,127.4018615976
47,"억새꽃 축제","산정호수+명성산 일대",22/10/15,22/11/20,"작은버스킹+1년 후에 받는 편지 등","홈페이지 정보 없음","경기도 포천시 영북면 산정호수로411번길 89","주소 X",38.0688660963,127.3221100828
48,"포천 백운계곡 동장군 축제","백운계곡 일대",22/12/24,23/02/05,"ICE BIG TREE 포토존+얼음조각작품 전시+튜브 눈썰매+송어얼음 낚시","홈페이지 정보 없음","경기도 포천시 이동면 화동로 2381","주소 X",38.0547745,127.383869
49,"도봉 과학축전","도봉구청 로비, 아뜨리움, 대강당, 광장 등",15/10/23,15/10/28,"과학 체험· 전시·교육·이벤트 마당 등","http://science.dobong.go.kr","서울특별시 도봉구 마들로 656","주소 X",37.6686287,127.0470496
50,"제13회 남한강축제","법천소공원",23/07/29,23/07/30,"문화예술공연+노래자랑 등","홈페이지 정보 없음","강원도 원주시 부론면 앙암로 1234","강원도 원주시 법천리 1575-1",37.20602239,127.7482249
51,"치악산찰옥수수축제","문막체육공원",23/07/01,23/07/01,"지역 옥수수 판매 및 농특산물 직거래장터 운영 등","홈페이지 정보 없음","주소 X","강원도 원주시 문막읍 문막리 329-45",37.3087155,127.8115249
52,"치악산복숭아축제","댄싱공연장 일원",23/08/01,23/08/01,"지역 복숭아 판매+품평회+기타 등","홈페이지 정보 없음","강원도 원주시 단구로 170","강원도 원주시 명륜동 345",37.3364295,127.9462614
53,"2023 원주 댄싱카니발","댄싱공연장 일원",23/09/22,23/09/24,"댄싱경연+문화예술공연+각종 체험 등","홈페이지 정보 없음","강원도 원주시 단구로 170","강원도 원주시 명륜동 345",37.3364295,127.9462614
54,"원주삼토페스티벌","종합운동장 일원",23/09/14,23/09/17,"농촌문화체험+지역먹거리 판매 등","홈페이지 정보 없음","강원도 원주시 서원대로 311","강원도 원주시 명륜동 342",37.3368381,127.943687
55,"치악산한우축제","댄싱공연장 주차장",23/10/01,23/10/01,"지역 한우 판매 등","홈페이지 정보 없음","강원도 원주시 단구로 170","강원도 원주시 명륜동 345",37.3364295,127.9462614
56,"원주 독서대전","시립중앙도서관",23/10/01,23/10/01,"학술토론+전시체험 등","홈페이지 정보 없음","강원도 원주시 단구로 170","강원도 원주시 명륜동 345",37.3364295,127.9462614
57,"원주 평생학습 축제","원주문화원 일원",23/10/06,23/10/07,"개막식+공연+전시+체험 등","www.wonju.go.kr","강원도 원주시 원일로 139","강원도 원주시 일산동 211",37.3515851,127.9467947
58,"단종문화제","장릉 및 영월읍 일원",22/04/29,22/05/01,"조신시대국장재현+정순왕후선발대회+야간칡줄다리기","http://www.ywcf.com/","강원도 영월군 영월읍 단종로 24","강원도 영월군 영월읍 영흥리 961-2",37.18609549,128.4681825
59,"동강국제사진제","동강사진박물관",22/07/22,22/10/09,"동강사진상+워크숍+사진예술전시","http://www.ywcf.com/","강원도 영월군 영월읍 영월로 1909-10","강원도 영월군 영월읍 하송리 217-2",37.18193994,128.4615511
60,"영월동강뗏목축제","동강둔치 일원",22/07/28,22/07/30,"전통뗏목시연+맨손송어잡기+래프팅","http://www.ywcf.com/","주소 X","강원도 영월군 영월읍 하송리 61-11",37.1796854699,128.4698462628
61,"제36회 지용제","지용생가 및 상계체육공원 등 구읍 일원",23/09/07,23/09/10,"지용문학상 시상식+시노래콘서트+향수콘서트+지용백일장 등","http://gy-festival.okcc.or.kr/html/kr/","충청북도 옥천군 옥천읍 매동로 209","충청북도 옥천군 옥천읍 상계리 14-2",36.31880041,127.5827071
62,"제1회 향수옥천 유채꽃축제","옥천유채꽃단지 일원",23/04/15,23/05/14,"개막 축하공연+기념음악회+농·특산물 판매 등","홈페이지 정보 없음","주소 X","충청북도 옥천군 동이면 금암리 1139",36.2848211695,127.6452943549
63,"2023 제11회 군산시간여행축제","시간여행마을 일원",23/10/06,23/10/09,"근대를 축으로 한 시간여행축제","http://festival.gunsan.go.kr/","전라북도 군산시 중앙로 178","전라북도 군산시 중앙로1가 11-1",35.98772627,126.711725
64,"제24회음성품바축제","설성공원및꽃동네일원",23/05/17,23/05/21,"글로벌품바래퍼경연대회, 품바라이브 등 공연 및 체험","http://www.pumba21.com/","충청북도 음성군 음성읍 예술로 102","충청북도 음성군 음성읍 읍내리 366-17",36.93152313,127.6806296
65,"제42회설성문화제","설성공원일원",23/10/12,23/10/15,"민속예술한마당놀이, 군민노래자랑 등 각종 체험","http://eumseong.kccf.or.kr","충청북도 음성군 음성읍 수정로 38","충청북도 음성군 음성읍 읍내리 446-1",36.93427623,127.6906949
66,"제61회 수원화성문화제","행궁광장 등 수원화성 일원",24/10/04,24/10/06,"정조대왕의 효심과 부국강병의 원대한 꿈으로 축성된 세계문화유산 수원화성에서 펼쳐지는 3일간의 행사","https://www.swcf.or.kr/hlfl/","경기도 수원시 팔달구 정조로 825","경기도 수원시 팔달구 남창동 6-2",37.28188256,127.0143944
67,"2024 수원화성 미디어아트","화서문, 장안문, 장안공원 일대",24/09/28,24/10/20,"수원화성 대표 건축물에 프로젝션 맵핑/인터렉티브 미디어아트/레이저 등 디지털 미디어 기술을 활용한 미디어아트쇼","https://www.swcf.or.kr/hlfl/","경기도 수원시 팔달구 정조로 825","경기도 수원시 팔달구 남창동 6-2",37.2818782,127.0143876
68,"2024 수원음식문화박람회","수원",24/10/04,24/10/06,"전국요리경연대회, 국제자매도시조리사초청전 동시개최로 수원의 맛과 멋을 알리는 수원만의 특색있는 음식문화박람회","홈페이지 정보 없음","경기도 수원시 팔달구 창룡대로 21(예정)","경기도 수원시 팔달구 매향동 49(예정)",37.282574,127.0189851
69,"2024 금정산성축제","금정산성광장 일원",24/05/24,24/05/26,"개막식+주제공연+전시·체험마당+연계행사 등","홈페이지 정보 없음","주소 X","부산광역시 금정구 금성동 682",35.2452813,129.0570297
70,"2024 지금여기 금정 관광후기 이벤트","금정구 일대",24/02/01,24/11/30,"금정을 여행하는 누구나 나만의 금정 관광후기를 공유하고 타인의 관광후기를 공유 받을 수 있음","홈페이지 정보 없음","부산광역시 금정구 중앙대로 1777","주소 X",35.2420498,129.0924585
71,"울산옹기축제","울주군 외고산옹기마을일원",24/05/04,24/05/06,"웰컴투옹기마을(옹기주제전시+창작공연+옹기만들기체험+주민참여공연등)","https://www.onggi.or.kr","울산광역시 울주군 온양읍 외고산3길 36","울산광역시 울주군 온양읍 고산리 501-18",35.435069,129.2795088
72,"2025 간절곶 해맞이 행사","울주군 서생면 간절곶 일원",24/12/31,25/01/01,"새해 해맞이 행사(송년행사+신년행사+새해떡국나눔+셔틀버스 운행 등)","http://www.ucf.or.kr","울산광역시 울주군 서생면 간절곶1길 39-2","울산광역시 울주군 서생면 대송리 28-1",35.35897306,129.3602963
73,"제15회 청도유등제","청도천둔치",24/06/03,24/06/03,"유등 점등 및 무대+체험+전시 행사 등","홈페이지 정보 없음","주소 X","경상북도 청도군 화양읍 송북리 98-3",35.65498121,128.7372391
74,"2024청도반시축제","청도야외공연장",24/10/11,24/10/13,"청도반시전시판매행사 및 공연","http://www.청도반시축제.kr","경상북도 청도군 화양읍 청려로 1846","경상북도 청도군 화양읍 동천리 457",35.64838523,128.7186823
75,"2024청도세계코미디아트페스티벌","청도야외공연장",24/10/11,24/10/13,"코미디를 테마로 한 공연+전시+체험 등","http://www.청도코아페.kr","경상북도 청도군 화양읍 청려로 1846","경상북도 청도군 화양읍 동천리 457",35.64838523,128.7186823
76,"춘천낭만여행 - 풍물장 새봄맞이 신명굿","풍물시장 상설무대",20/05/17,20/07/12,"풍물장 새봄맞이 신명굿","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7545","강원도 춘천시 영서로 2352-21 풍물시장","강원도 춘천시 온의동 29-3 풍물시장",37.867938,127.716982
77,"춘천전쟁과 일상 국제문학포럼 2020 -한국전쟁 후-","강원대학교 글로벌경영관 AMP강의실 103호",20/02/05,20/02/05,"강연 및 토론","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7531","강원도 춘천시 강원대학길 1","강원도 춘천시 효자동 192-1",37.86802431,127.74838741
78,"이계통간異系統間 배요한 박예지 2인전","개나리미술관",22/08/02,22/08/14,"배요한x박예지 이계통간(異系統間)","https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=EC9DB4EAB384ED86B5EAB08428E795B0E7B3BBE7B5B1E9969329+3A+EBB0B0EC9A94ED959C+EBB095EC9888ECA780+2EC9DB8ECA084","강원도 춘천시 동내면거두택지길44번길7-19","강원도 춘천시 동내면 거두리 1123-6",37.854519,127.758213
79,"춘천인형극박물관 재개관 전시 인형의 기술","춘천인형극박물관",20/10/15,20/12/31,"인형의 기술","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7591&search_type=1&search_keyword=ECB698ECB29CEC9DB8ED9895EAB7B9EBB095EBACBCEAB480+EC9EACEAB09CEAB480+ECA084EC8B9C+E3808AEC9DB8ED9895EC9D98+EAB8B0EC88A0E3808B","강원도 춘천시 영서로 3017","강원도 춘천시 사농동 277-3 춘천인형극장",37.92101625,127.720178
80,"최정숙 개인전 호모 하모니쿠스 Homo Harmonicus","춘천미술관",20/07/31,20/08/06,"최정숙 개인전 호모 하모니쿠스 Homo Harmonicus","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7582&search_type=1&search_keyword=ECB59CECA095EC8899+EAB09CEC9DB8ECA084+ED98B8EBAAA8+ED9598EBAAA8EB8B88ECBFA0EC8AA4+Homo+Harmonicus","강원도 춘천시 서부대성로 71","강원도 춘천시 옥천동 73-2 춘천예술마당",37.88237413,127.73137363
81,"2020 서현종 개인전 - 청.춘.천 展","복합문화공간 5Note",20/06/12,20/06/28,"춘천이 가지고 온 풍경들과 그 속에서 자라온 우리들의 지나온 푸른색의 추억들을 아크릴화로 표현한 전시","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7558","강원도 춘천시 스포츠타운길 347-9","강원도 춘천시 삼천동 200-2",37.872615,127.696757
82,"2020 강원문화재단 원로예술인 공연 생일 - The Dark","춘천 소극장 Zone",20/08/03,20/08/09,"강원도 대표 연극인 김경태 원로예술인의 대표작 생일 - The Dark","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7578&search_type=1&search_keyword=2020+EAB095EC9B90EBACB8ED9994EC9EACEB8BA8+EC9B90EBA19CEC9888EC88A0EC9DB8","강원도 춘천시 세실로 267 (후평동)","강원도 춘천시 후평동 90-1번지",37.880636,127.754584
83,"춘천뿌리展_The Exhibition of Roots","춘천미술관 전관",22/09/30,22/10/06,"춘천뿌리展_The Exhibition of Roots","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10842&search_type=1&search_keyword=ECB698ECB29CEBBF8CEBA6ACE5B195_The+Exhibition+of+Roots","강원도 춘천시 서부대성로 71(옥천동)","강원도 춘천시 옥천동 73-2 춘천예술마당",37.88237413,127.73137363
84,"춘천선열의 얼과 소통하다 한중수교 30주년기념 국제 초청 서예전 강원서예협회 정기전","춘천문화원 의암전시실",22/10/17,22/10/20,"춘천은 애국 충정의 도시로 애향 선열의 얼을 이어 담은 작품 전시. 서예가 정광옥 비롯하여 한국작가와 중국작가 43명 전시","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10833&search_type=1&search_keyword=ECB698ECB29CEC84A0EC97B4EC9D98+EC96BCEAB3BC+EC868CED86B5ED9598EB8BA4+2FED959CECA491EC8898EAB590+30ECA3BCEB8584EAB8B0EB8590+EAB5ADECA09C+ECB488ECB2AD+EC84","강원도 춘천시 퇴계농공로 40(퇴계동)","강원도 춘천시 퇴계동 1020-2 춘천시평생학습관",37.849556,127.7436554
85,"2022 마임 아카데미 움직임 창작자를 위한 워크숍 비행飛行","무하 공연예술연습실",22/11/07,22/11/21,"자신의 상태,창작물의 완성도를 한 단계 확신에 가까운 상태로 이끌 수 있는 계기를 만들기 위한 시간","https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=2022+EBA788EC9E84+EC9584ECB9B4EB8DB0EBAFB8+EC9B80ECA781EC9E84+ECB0BDEC9E91EC9E90EBA5BC+EC9C84ED959C+EC9B8CED81ACEC888D+EBB984ED968928E9A39BE8A18C29","강원도 춘천시 행촌로 35(퇴계동)","강원도 춘천시 퇴계동 890-4",37.85984082,127.724394
86,"제로섬씽","춘천문화예술회관 전시장",22/09/29,22/10/10,"강원도를 터전으로 하는 작가 76인과 함께하는 에코아트페어 제로섬씽은 쓸모없는 아름다움’을 주제로 하고 있습니다","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10831&search_type=1&search_keyword=ECA09CEBA19CEC84ACEC94BD","강원도 춘천시 효자상길5번길 13(효자동)","강원도 춘천시 효자동 산40-12 춘천문화예술회관",37.87261579,127.72934048
87,"마스터클래스 23회차 영혼의 기타리스트 이근형 vs 괴물연주자 베이시스트 장태웅","강원음악창작소 1층 아니마떼끄",22/09/24,22/09/24,"일렉트릭 기타의 모든것에 대한 토론, 베이시스트의 다양한 테크닉과 앙상블의 이해","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10730&search_type=1&search_keyword=EBA788EC8AA4ED84B0ED81B4EB9E98","강원도 춘천시 서면 박사로 854","강원도 춘천시 서면 현암리 367-3 강원정보문화진흥원",37.89302024,127.69192441
88,"김홍열 사진전_Moment","춘천미술관 1F",22/09/23,22/09/28,"김흥열 사진전","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10822&search_type=1&search_keyword=EAB980ED998DEC97B4+EC82ACECA784ECA084_Moment","강원도 춘천시 서부대성로 71(옥천동)","강원도 춘천시 옥천동 73-2 춘천예술마당",37.88237413,127.73137363
89,"老雲 安淙重 篆刻展노운 안종중 전각전_안종중 개인전","춘천미술관 2F",22/09/16,22/09/28,"시백 안종중 선생의 전각예술세계를 볼 수 있는 전시","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10804&page=1","강원도 춘천시 서부대성로 71(옥천동)","강원도 춘천시 옥천동 73-2 춘천예술마당",37.88237413,127.73137363
90,"소小 소素 소笑_김현숙 개인전","춘천미술관 1F",22/09/16,22/09/21,"삶은 기억의 총합이며 색을 입힌 파트이다. 그러므로 사소한 것도 나에게는 이유 이자 힘이다.","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10803&page=5","강원도 춘천시 서부대성로 71(옥천동)","강원도 춘천시 옥천동 73-2 춘천예술마당",37.88237413,127.73137363
91,"2022 춘천도서전-춘천 쓰고 읽고 말하다.","춘천시립도서관일대",22/10/22,22/10/23,"춘천지역출판연대가 주최하는 이번 도서전은 지역의 숨은 작가를 찾아 독자들과 이어주는 지역작가와 독자의 만남을 주요 목표로 하고 있다.","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10798","강원도 춘천시 우석로 100","강원도 춘천시 석사동 산32-1",37.86198997,127.75501864
92,"정춘일 개인전 - 삼 .철. 리 바람 展","kt&g 상상마당 춘천갤러리",22/09/20,22/10/21,"이번 프로젝트는 작가 본인에게는 자신의 한계성과의 싸움이며, 향유자에게는 작품의 다양성의 폭을 넓혀주고,나아가 문화도시 춘천의 위상과 예술의 질적수준을 높여 줄 것이라 기대한다.","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10795","강원도 춘천시 스포츠타운길 399번길 25","강원도 춘천시 삼천동 223-2",37.87361778,127.70209163
93,"지나가는 여름이 아쉬운 사람들을 위한 블루요선 여행페스타","조운웰컴센터 및 요선동 일대",22/08/20,22/08/20,"지나가는 여름이 아쉬운 사람들을 위한 늦여름 바캉스,스몰여행 페스타","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10701","강원도 춘천시 서부대성로44번길 2","강원도 춘천시 요선동 149-2",37.883138,127.727604
94,"축성탄 저세상 텐션으로의 초대 안녕 팥쥐","강원도립극단 유튜브",21/12/24,21/12/26,"안녕,팥쥐 온라인 상영회","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10078","강원도 춘천시 안마산로 89 4층","강원도 춘천시 퇴계동 565-6",37.85546242,127.7258527
95,"Christmas Festival - 제 9회 정기연주회","춘천문화예술회관",21/12/19,21/12/19,"한중미 예술인 협회의 성악가들 협연","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10048","강원도 춘천시 효자상길5번길 13","강원도 춘천시 효자동 산40-12 춘천문화예술회관",37.87261579,127.72934048
20,"동두천시 자원봉사 축제","시민평화근린공원 일원",23/10/14,23/10/14,"자원봉사자와 시민·청소년 모두가 하나되는 나눔의 장","http://www.ddc.go.kr","경기도 동두천시 중앙로 125","경기도 동두천시 지행동 691-5",37.89275541,127.0517461
21,"DDC할로윈클럽데이","보산동 한미우호광장",18/10/27,18/10/28,"할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌","http://www.ddc.go.kr","경기도 동두천시 상패로216번길 42","경기도 동두천시 보산동 429-4",37.91584622,127.0565068
22,"제5회 연제고분판타지축제","온천천시민공원 및 연산동 고분군",24/03/22,24/03/24,"역사문화행사","홈페이지 정보 없음","주소 X","부산광역시 연제구 거제동 1466-24",35.19588064,129.082826
23,"(가칭)오산 산타 마켓","오산역광장+원동구도심상가",24/11/23,24/12/25,"마켓운영+경관조명","https://www.osan.go.kr/main.do","경기도 오산시 원동로37번길 37-1","경기도 오산시 원동 794",37.145359,127.070236
24,"크랩킹페스타","추암해변",24/04/11,24/04/14,"개막식, 먹거리장터, 공연행사,크랩뜰낚시체험, 크랩맨손잡기","홈페이지 정보 없음","주소 X","강원특별자치도 동해시 추암동 474-20",37.47834714,129.157962
25,"2024얼음나라 화천 산천어축제","화천천 일원",24/01/06,24/01/28,"얼음낚시+맨손잡기+눈얼음체험+얼음조각광장 등","www.narafestival.com","강원특별자치도 화천군 화천읍 산천어길 137","강원특별자치도 화천군 화천읍 중리 186-5",38.1125016134,127.7098431852
26,"2024 대구앞산축제(제29회 대덕제)","남구구민체육광장",24/05/25,24/05/26,"앞산을 배경으로 다양한 체험프로그램과 문화예술 공연이 있는 주민화합 축제","홈페이지 정보 없음","대구광역시 남구 고산4길 71","대구광역시 남구 봉덕동 1272-1",35.83229037,128.6004362
27,"영도다리축제","아미르공원+영도일원+영도다리축제유튜브채널",24/10/12,24/10/13,"개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등","http://www.yeongdo.go.kr/ydfestival.web","부산광역시 영도구 해양로 301번길 55","부산광역시 영도구 동삼동 1165",35.07714964,129.0820078
28,"영도커피페스티벌","아미르공원",24/05/24,24/05/26,"개막주제공연+축하공연+체험행사 등","https://www.yeongdo.go.kr/yd_coffee_festival.web","부산광역시 영도구 해양로 301번길 55","부산광역시 영도구 동삼동 1165",35.07714964,129.0820078
29,"2023 과천공연예술축제","과천시 일원",23/09/22,23/09/24,"시민주도형 예술축제","http://www.gcfest.or.kr","경기도 과천시 통영로 5","경기도 과천시 중앙동 6-2",37.42819137,126.9891538
30,"2024고령 대가야축제","대가야박물관+대가야역사테마관광지+대가야문화누리+관내일원",23/03/29,23/03/31,"체험프로그램, 악성우륵추모제, 가야금 100대 공연, 야간특별프로그램, 불꽃쇼, 인기가수 공연 등","http://www.festdgy.com/","경상북도 고령군 대가야읍 대가야로 1216","경상북도 고령군 대가야읍 지산리 471-1",35.72008225,128.259677
31,"2020 부평풍물대축제","신트리공원 등",20/10/16,20/10/18,"다큐멘터리 제작+지역 문화예술인 참여 소규모 공연 등","https://portal.icbp.go.kr/bpf/","인천광역시 부평구 신트리로 21","인천광역시 부평구 부평동 880",37.506554,126.7236393
32,"휴애리 유럽 수국축제","휴애리 자연생활공원",23/07/15,23/09/15,"동물먹이주기체험 전통놀이체험","hueree.com","제주특별자치도 서귀포시 남원읍 신례동로 256","주소 X",33.30853475,126.6343808
