"축제ID","축제명","개최장소","축제시작일자","축제종료일자","축제내용","홈페이지주소","소재지도로명주소","소재지지번주소","위도","경도"
1241,"2017 안양충훈벚꽃축제","안양충훈2교일대",17/04/07,17/04/09,"축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등","http://www.ayac.or.kr","경기도 안양시 만안구 석수로 159","경기도 안양시 만안구 석수동 797",37.404615,126.896157
1242,"2017 안양 아줌마축제","평촌중앙공원",17/05/27,17/05/28,"아줌마 축제 기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등","http://www.ayac.or.kr","경기도 안양시 동안구 관평로 149 (평촌동)","경기도 안양시 동안구 평촌동 895",37.390137,126.9613287
1243,"2017 광복기념음악회","안양아트센터 관악홀",17/08/15,17/08/15,"안양필하모닉 오케스트라연주+ 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행)","http://www.ayac.or.kr","경기도 안양시 만안구 문예로 36번길 16","경기도 안양시 만안구 안양동 549",37.384588,126.931365
1244,"제11회 서면메디컬스트리트 축제","서면문화로",23/10/27,23/10/28,"홍보부스운영+버스킹+의료체험+시민참여 프로그램 등","https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003002000","부산광역시 부산진구 시민공원로30 (범전동)","부산광역시 부산진구 부암동 666-16",35.16283064,129.053188
1245,"합천벚꽃마라톤대회","백리벚꽃길 코스",24/03/31,24/03/31,"벚꽃길에서 펼쳐지는 달리미들의 대향연","https://www.hc.go.kr/06573/06623/06624.web","경상남도 합천군 대병면 합천호수로 197","주소 X",35.531585,128.0295197
1246,"황매산 철쭉제","황매산군립공원",24/04/27,24/05/12,"황매산 철쭉을 즐기는 축제","http://www.hwangmaesan.kr","경상남도 합천군 가회면 황매산공원길 4","주소 X",35.48184913,128.0037495
1247,"합천바캉스축제","정양레포츠공원",24/07/27,24/08/04,"전국에서 가장 HOT한 합천에서 가족과 함께하는 바캉스","http://www.hcvacance.kr/","주소 X","경상남도 합천군 대양면 정양리 613-2",35.5573152,128.1675442
1248,"합천황토한우축제","합천군민체육공원",24/10/11,24/10/13,"합천의 자랑인 황토한우의 맛과 품격을 알리는 축제","홈페이지 정보 없음","주소 X","경상남도 합천군 합천읍 합천리 896-15",35.5600925,128.1601151
1249,"황매산 억새축제","황매산군립공원",24/10/15,24/10/30,"황매산 억새를 즐기는 축제","http://www.hwangmaesan.kr","경상남도 합천군 가회면 황매산공원길 4","주소 X",35.48184913,128.0037495
1250,"합천기록문화축제","대장경테마파크",24/10/24,24/10/28,"전시 및 공연 등 기록문화를 느낄 수 있는 축제","https://www.hc.go.kr/06573/08250.web","경상남도 합천군 가야면 가야산로 1160","주소 X",35.76749785,128.1365362
1251,"수려한합천영화제","합천영상테마파크 및 합천군일원",24/10/18,24/10/20,"합천영상테마파크를 중심으로 영화인과 관객이 어우러지는 영화문화축제","https://www.bhiff.co.kr/default/","경상남도 합천군 용주면 합천호수로 757","주소 X",35.5490189,128.0710082
1252,"대야문화제","합천군민공설운동장 일원",24/09/10,24/09/13,"합천군 역사와 전통의 지역축제","https://www.hc.go.kr/06573/06623/06628.web","경상남도 합천군 합천읍 장수로 1-1","주소 X",35.5619055,128.1522093
1253,"섬 튤립축제","1004섬 튤립홍매화정원(임자도대광해변일원)",24/04/05,24/04/14,"특별기획전+미디어아트상설전+나만의가훈갖기+튤립식재체험행사","https://tour.shinan.go.kr/","전라남도 신안군 임자면 대광해수욕장길 179","주소 X",35.10291276,126.0725117
1254,"제23회 흥부골 달맞이 행사","남원시 인월면 람천둔치",24/02/24,24/02/24,"터울림 및 제례+국악공연+달집태우기+소원소지","홈페이지 정보 없음","주소 X","전북특별자치도 남원시 산내면 대정리",35.41805389,127.6266284
1255,"제94회 춘향제","광한루원+요천로 일원",24/05/10,24/05/16,"춘향제향+춘향선발대회+다양한 공연 등","홈페이지 정보 없음","전북특별자치도 남원시 요천로 1447","전북특별자치도 남원시 천거동 78",35.40413057,127.380504
1256,"2024 남원 세계드론제전","남원종합스포츠타운",24/10/03,24/10/06,"드론공연 남원 페스티벌+드론스포츠 대회+글로벌드론산업박람회+ 푸드트럭 페스티벌 등","홈페이지 정보 없음","전북특별자치도 남원시 충정로 341","전북특별자치도 남원시 월락동 248",35.43086878,127.4054593
1257,"조선광클럽","광한루원+예촌지구일원",24/02/24,24/02/24,"DJ이몽룡과 DJ변사또의 조선광클럽+LED 공연+LED쥐불놀이체험 등","홈페이지 정보 없음","전북특별자치도 남원시 요천로 1447","전북특별자치도 남원시 천거동 78",35.40413057,127.380504
1258,"4월 마토예술제<인형극이랑 놀자>","안정리예술인광장",23/04/29,23/04/29,"인형극 테마 체험+공연+전시","https://www.pccf.or.kr/","경기도 평택시 팽성읍 안정쇼핑로11","경기도 평택시 팽성읍 안정리113-1",36.95955991,127.043999
1259,"더 스프링 시즌 A.D.H.D. 페스티벌","안정리예술인광장",23/05/27,23/05/27,"EDM공연+체험+전시","https://www.pccf.or.kr/","경기도 평택시 팽성읍 안정쇼핑로11","경기도 평택시 팽성읍 안정리113-1",36.95955991,127.043999
1260,"6월 마토예술제<원더풀파티>","안정리예술인광장 일대",23/06/24,23/06/24,"물총놀이+공연+체험","https://www.pccf.or.kr/","경기도 평택시 팽성읍 안정쇼핑로11","경기도 평택시 팽성읍 안정리113-1",36.95955991,127.043999
1261,"제13회 평택록페스티벌&전국밴드경연대회","평택대학교 운동장",23/07/01,23/07/01,"공연+경연대회","http://ptrockfestival.com/","경기도 평택시 서동대로 3825","경기도 평택시 용이동 605",36.994639,127.133968
1262,"제11회 평택 가족캠핑 스마트영상제","진위천유원지",23/08/12,23/08/14,"영상제+캠핑+공연+체험","https://pfff.kr/","경기도 평택시 진위면 진위서로 264-15","경기도 평택시 진위면 견산리 150-1",37.09814476,127.086486
1263,"더 어텀 시즌 아트&플레이 페스타","안정리예술인광장 일대",23/09/02,23/09/02,"재즈공연+체험","https://www.pccf.or.kr/","경기도 평택시 팽성읍 안정쇼핑로11","경기도 평택시 팽성읍 안정리113-1",36.95955991,127.043999
1264,"제10회 노을동요제","평택남부문예회관 대공연장",23/09/09,23/09/09,"공연+경연대회","http://www.noel.or.kr/","경기도 평택시 중앙로 277","경기도 평택시 비전동 847",36.991134,127.114086
1265,"평택호물빛축제","평택호관광단지일원",23/09/16,23/09/17,"불꽃놀이+공연+체험+먹거리","https://www.pccf.or.kr/","경기도 평택시 현덕면 평택호길 159","경기도 평택시 현덕면 권관리 301-1",36.921442,126.922226
